x,0x,00,x,0x,0x
0,00,01,0,00,00
0,00,169,0,00,00
0,00,104,0,00,00
0,00,219,0,00,00
0,00,200,0,00,00
0,00,205,0,00,00
1,00,222,0,00,00
1,01,164,0,00,00
1,02,89,1,00,222
1,03,57,1,01,164
1,04,71,1,02,89
1,05,55,1,03,57
1,06,17,1,04,71
1,07,120,1,05,55
1,08,222,1,06,17
1,09,133,1,07,120
1,10,164,1,08,222
1,11,229,1,09,133
1,12,128,1,10,164
1,13,247,1,11,229
1,14,36,1,12,128
1,15,32,1,13,247
1,00,134,1,14,36
1,01,67,1,15,32
1,02,215,1,00,134
1,03,65,1,01,67
1,04,172,1,02,215
1,05,210,1,03,65
1,06,71,1,04,172
1,07,101,1,05,210
1,08,230,1,06,71
1,09,138,1,07,101
1,10,30,1,08,230
1,11,54,1,09,138
1,12,62,1,10,30
1,13,133,1,11,54
1,14,64,1,12,62
1,15,88,1,13,133
1,00,08,1,14,64
1,01,250,1,15,88
1,02,158,1,00,08
1,03,17,1,01,250
1,04,100,1,02,158
1,05,154,1,03,17
1,06,149,1,04,100
1,07,111,1,05,154
1,08,130,1,06,149
1,09,253,1,07,111
1,10,173,1,08,130
1,11,215,1,09,253
1,12,19,1,10,173
1,13,223,1,11,215
1,14,90,1,12,19
1,15,196,1,13,223
1,00,73,1,14,90
1,01,106,1,15,196
1,02,180,1,00,73
1,03,249,1,01,106
1,04,239,1,02,180
1,05,174,1,03,249
1,06,146,1,04,239
1,07,172,1,05,174
1,08,130,1,06,146
1,09,00,1,07,172
1,10,124,1,08,130
1,11,63,1,09,00
1,12,133,1,10,124
1,13,17,1,11,63
1,14,19,1,12,133
1,15,149,1,13,17
1,00,96,1,14,19
1,01,174,1,15,149
1,02,62,1,00,96
1,03,36,1,01,174
1,04,102,1,02,62
1,05,178,1,03,36
1,06,13,1,04,102
1,07,65,1,05,178
1,08,10,1,06,13
1,09,156,1,07,65
1,10,21,1,08,10
1,11,100,1,09,156
1,12,78,1,10,21
1,13,154,1,11,100
1,14,03,1,12,78
1,15,62,1,13,154
1,00,178,1,14,03
1,01,47,1,15,62
1,02,31,1,00,178
1,03,242,1,01,47
1,04,143,1,02,31
1,05,188,1,03,242
1,06,131,1,04,143
1,07,194,1,05,188
1,08,139,1,06,131
1,09,151,1,07,194
1,10,17,1,08,139
1,11,32,1,09,151
1,12,81,1,10,17
1,13,81,1,11,32
1,14,61,1,12,81
1,15,196,1,13,81
1,00,00,1,14,61
1,01,123,1,15,196
1,02,125,1,00,00
1,03,65,1,01,123
1,04,251,1,02,125
1,05,13,1,03,65
1,06,199,1,04,251
